state,state fips,county,county code,commodity,data item,domain category,value
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"2,042,220"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),"273,325"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),"583,001"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),"564,763"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),"315,017"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),"133,321"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 TO 1,999 ACRES)","87,666"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (2,000 OR MORE ACRES)","85,127"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"900,217,576"
US TOTAL,99,,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,441
US TOTAL,99,,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,311,808"
US TOTAL,99,,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,976"
US TOTAL,99,,,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"272,297,744,000"
US TOTAL,99,,,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"133,363"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,"1,475,627"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND - ACRES",,"396,433,817"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,"1,245,548"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"320,041,858"
US TOTAL,99,,,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,"294,235"
US TOTAL,99,,,AG LAND,"AG LAND, IRRIGATED - ACRES",,"58,013,907"
US TOTAL,99,,,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"388,522,695,000"
US TOTAL,99,,,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"190,245"
US TOTAL,99,,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"193,546,699,000"
US TOTAL,99,,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"194,975,996,000"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)","791,701"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)","185,341"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)","208,074"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)","228,218"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)","144,113"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)","119,434"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 TO 499,999 $)","218,771"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (500,000 OR MORE $)","146,568"
US TOTAL,99,,,FARM OPERATIONS,"FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS",,"1,751,126"
US TOTAL,99,,,FARM OPERATIONS,"FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, PARTNERSHIP - NUMBER OF OPERATIONS",,"130,173"
US TOTAL,99,,,FARM OPERATIONS,"FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, CORPORATION - NUMBER OF OPERATIONS",,"116,840"
US TOTAL,99,,,FARM OPERATIONS,"FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER - NUMBER OF OPERATIONS",,"44,081"
US TOTAL,99,,,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"326,390,640,000"
US TOTAL,99,,,ANIMAL TOTALS,"ANIMAL TOTALS - EXPENSE, MEASURED IN $",,"44,934,482,000"
US TOTAL,99,,,FEED,"FEED - EXPENSE, MEASURED IN $",,"62,625,223,000"
US TOTAL,99,,,FERTILIZER TOTALS,"FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $",,"23,543,177,000"
US TOTAL,99,,,FUELS,"FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $",,"13,474,121,000"
US TOTAL,99,,,LABOR,"LABOR, HIRED - EXPENSE, MEASURED IN $",,"31,635,981,000"
US TOTAL,99,,,INTEREST,"INTEREST - EXPENSE, MEASURED IN $",,"12,396,094,000"
US TOTAL,99,,,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",,"17,585,163,000"
US TOTAL,99,,,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,"882,692"
US TOTAL,99,,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"93,648,041"
US TOTAL,99,,,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,"729,046"
US TOTAL,99,,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"31,722,039"
US TOTAL,99,,,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,"54,599"
US TOTAL,99,,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,"9,539,631"
US TOTAL,99,,,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,"711,827"
US TOTAL,99,,,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"69,812,061"
US TOTAL,99,,,HOGS,HOGS - OPERATIONS WITH INVENTORY,,"66,439"
US TOTAL,99,,,HOGS,HOGS - INVENTORY,,"72,381,007"
US TOTAL,99,,,HOGS,HOGS - OPERATIONS WITH SALES,,"64,871"
US TOTAL,99,,,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"235,282,860"
US TOTAL,99,,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,"232,500"
US TOTAL,99,,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"368,241,393"
US TOTAL,99,,,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,"32,751"
US TOTAL,99,,,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,"8,889,759,283"
US TOTAL,99,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,"304,801"
US TOTAL,99,,,CORN,"CORN, GRAIN - ACRES HARVESTED",,"84,738,562"
US TOTAL,99,,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"14,773,403,430"
US TOTAL,99,,,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,"59,500"
US TOTAL,99,,,CORN,"CORN, SILAGE - ACRES HARVESTED",,"6,109,414"
US TOTAL,99,,,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"120,443,839"
US TOTAL,99,,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,"104,792"
US TOTAL,99,,,WHEAT,WHEAT - ACRES HARVESTED,,"38,811,620"
US TOTAL,99,,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"1,788,456,593"
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,"3,093"
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,"2,206,169"
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,"63,273,647"
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,"20,076"
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"10,419,033"
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"440,770,319"
US TOTAL,99,,,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,"86,596"
US TOTAL,99,,,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"26,186,417"
US TOTAL,99,,,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"1,284,412,628"
US TOTAL,99,,,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,"19,842"
US TOTAL,99,,,OATS,OATS - ACRES HARVESTED,,"814,140"
US TOTAL,99,,,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"50,406,624"
US TOTAL,99,,,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,"11,188"
US TOTAL,99,,,BARLEY,BARLEY - ACRES HARVESTED,,"2,206,808"
US TOTAL,99,,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"161,624,924"
US TOTAL,99,,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,"15,339"
US TOTAL,99,,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,"5,070,159"
US TOTAL,99,,,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,"354,737,072"
US TOTAL,99,,,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,"3,064"
US TOTAL,99,,,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,"335,647"
US TOTAL,99,,,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,"4,434,915"
US TOTAL,99,,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,"303,191"
US TOTAL,99,,,SOYBEANS,SOYBEANS - ACRES HARVESTED,,"90,149,480"
US TOTAL,99,,,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"4,356,024,186"
US TOTAL,99,,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - OPERATIONS WITH AREA HARVESTED",,"5,408"
US TOTAL,99,,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - ACRES HARVESTED",,"1,470,136"
US TOTAL,99,,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - PRODUCTION, MEASURED IN CWT",,"30,625,986"
US TOTAL,99,,,COTTON,COTTON - OPERATIONS WITH AREA HARVESTED,,"16,149"
US TOTAL,99,,,COTTON,COTTON - ACRES HARVESTED,,"11,401,965"
US TOTAL,99,,,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",,"20,413,180"
US TOTAL,99,,,TOBACCO,TOBACCO - OPERATIONS WITH AREA HARVESTED,,"6,237"
US TOTAL,99,,,TOBACCO,TOBACCO - ACRES HARVESTED,,"331,552"
US TOTAL,99,,,TOBACCO,"TOBACCO - PRODUCTION, MEASURED IN LB",,"715,446,022"
US TOTAL,99,,,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,"799,627"
US TOTAL,99,,,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"56,858,622"
US TOTAL,99,,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"140,229,237"
US TOTAL,99,,,RICE,RICE - OPERATIONS WITH AREA HARVESTED,,"4,637"
US TOTAL,99,,,RICE,RICE - ACRES HARVESTED,,"2,395,054"
US TOTAL,99,,,RICE,"RICE - PRODUCTION, MEASURED IN CWT",,"176,274,671"
US TOTAL,99,,,SUNFLOWER,SUNFLOWER - OPERATIONS WITH AREA HARVESTED,,"3,389"
US TOTAL,99,,,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,,"1,324,030"
US TOTAL,99,,,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN LB",,"2,086,855,236"
US TOTAL,99,,,SUGARBEETS,SUGARBEETS - OPERATIONS WITH AREA HARVESTED,,"3,496"
US TOTAL,99,,,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,,"1,150,682"
US TOTAL,99,,,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",,"35,488,911"
US TOTAL,99,,,SUGARCANE,"SUGARCANE, SUGAR - OPERATIONS WITH AREA HARVESTED",,627
US TOTAL,99,,,SUGARCANE,"SUGARCANE, SUGAR - ACRES HARVESTED",,"843,454"
US TOTAL,99,,,SUGARCANE,"SUGARCANE, SUGAR - PRODUCTION, MEASURED IN TONS",,"30,949,944"
US TOTAL,99,,,PEANUTS,PEANUTS - OPERATIONS WITH AREA HARVESTED,,"6,379"
US TOTAL,99,,,PEANUTS,PEANUTS - ACRES HARVESTED,,"1,786,767"
US TOTAL,99,,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",,"7,114,985,199"
US TOTAL,99,,,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,"74,276"
US TOTAL,99,,,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,"4,365,149"
US TOTAL,99,,,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,"16,554"
US TOTAL,99,,,POTATOES,POTATOES - ACRES HARVESTED,,"1,133,128"
US TOTAL,99,,,SWEET POTATOES,SWEET POTATOES - OPERATIONS WITH AREA HARVESTED,,"4,798"
US TOTAL,99,,,SWEET POTATOES,SWEET POTATOES - ACRES HARVESTED,,"172,983"
US TOTAL,99,,,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,"111,955"
US TOTAL,99,,,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,"5,665,600"